nomor,nama,keahlian 1,keahlian 2,lokasi
"225,Altian,Pengembangan Anak Muda,Sains dan Teknologi,""Kota Surabaya, Jawa Timur"""
"226,Variousstars.id,Kepemimpinan & Organisasi,Lingkungan,""Kota Surakarta, Jawa Tengah"""
"227,Bali Tourism Board,Seni dan Budaya,Kepemimpinan & Organisasi,""Kota Denpasar, Bali"""
"228,Lestari Dari Indonesia (LDI Indonesia),Lingkungan,Pengembangan Masyarakat,""Kota Administrasi Jakarta Pusat, DKI Jakarta"""
"229,MILLENNIAL PEDULI,Pendidikan,Pengembangan Masyarakat,""Kota Tangerang Selatan, Banten"""
"230,Volunteer Of Humanity JATIM,Kesehatan,Pusat Informasi dan Kajian,""Kota Surabaya, Jawa Timur"""
"231,Amarulloh albarzakh,Bantuan Hukum,Bantuan Hukum,""Kabupaten Bekasi, Jawa Barat"""
"232,Enable Indonesia,Difabilitas/Disabilitas,Hak Asasi Manusia,""Kota Bekasi, Jawa Barat"""
"233,Pemuda Generasi Bangkit Nusantara PEGE BANGSA,Lingkungan,Pengembangan Masyarakat,""Kota Jayapura, Papua"""
"234,Menjadi Anak-Anak Allah,Perdamaian dan Toleransi,Pengembangan Anak Muda,""Kabupaten Bekasi, Jawa Barat"""
"235,Daya Mahasiswa Sunda,Pengembangan Masyarakat,Seni dan Budaya,""Kota Bandung, Jawa Barat"""
"236,Yayasan Rumah Berkah Nusantara,Pendidikan,Penanggulangan Bencana,""Kota Depok, Jawa Barat"""
"237,Yayasan kiwari,Hak Asasi Manusia,Bantuan Hukum,""Kabupaten Sleman, Yogyakarta"""
"238,Mitra Citra Remaja PKBI Jawa Barat,Pengembangan Anak Muda,Kesehatan,""Kota Bandung, Jawa Barat"""
"239,Gerakan Nasi Bungkus,Pengembangan Masyarakat,Pendidikan,""Kota Administrasi Jakarta Pusat, DKI Jakarta"""
"240,PeDuLi Isoman,Kesehatan,Lingkungan,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"241,Membantu Pendidikan,Pendidikan,Pengembangan Anak Muda,""Kota Tangerang Selatan, Banten"""
"242,Yayasan Pesona Daarul'ilmi,Pendidikan,Kesehatan,""Kabupaten Bogor, Jawa Barat"""
"243,PERJAKA615,Lingkungan,Kesehatan,""Kabupaten Bogor, Jawa Barat"""
"244,Foodiewell,Kesehatan,Pengembangan Masyarakat,""Kabupaten Bekasi, Jawa Barat"""
"245,The SeaCleaners,Lingkungan,Lingkungan,""Kota Denpasar, Bali"""
"246,Lingkar Mahasiswa Asahan Universitas Negeri Medan,Pengembangan Masyarakat,Pendidikan,""Kabupaten Deli Serdang, Sumatera Utara"""
"247,Yayasan Akar Cinta Kasih,Kesehatan,Hak Asasi Manusia,""Kabupaten Badung, Bali"""
"248,Narasi Pojok Kota,Pusat Informasi dan Kajian,Pengembangan Masyarakat,""Kabupaten Pidie, Aceh"""
"249,I Am Polyglot,Pendidikan,Pengembangan Anak Muda,""Kota Bandung, Jawa Barat"""
"250,BSO KWU FH UNNES,Pendidikan,Kepemimpinan & Organisasi,""Kota Semarang, Jawa Tengah"""
"251,Kelompok Difabel Desa Gentungan Mandiri,Difabilitas/Disabilitas,Hak Asasi Manusia,""Kabupaten Karanganyar, Jawa Tengah"""
"252,PUAN DAN KAWAN MELAWAN,Kesetaraan Gender,Kesetaraan Gender,""Kota Surabaya, Jawa Timur"""
"253,Indonesian Literatus Society,Pendidikan,Pengembangan Masyarakat,""Kota Bandung, Jawa Barat"""
"254,Bumi Net,Lingkungan,Pengembangan Anak Muda,""Kabupaten Bangka, Kepulauan Bangka Belitung"""
"255,Pinjam Pustaka,Pendidikan,Pengembangan Masyarakat,""Kota Sorong, Papua Barat"""
"256,Compok Literasi,Pengembangan Anak Muda,Pendidikan,""Kabupaten Pamekasan, Jawa Timur"""
"257,Komunitas RSC-WSC,Pendidikan,Pengembangan Masyarakat,""Kota Serang, Banten"""
"258,Didik & Ajar Indonesia,Pendidikan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Pusat, DKI Jakarta"""
"259,SeBAYA PKBI Jawa Timur,Kesetaraan Gender,Hak Asasi Manusia,""Kota Surabaya, Jawa Timur"""
"260,Jejak Warna,Pendidikan,Pengembangan Anak Muda,""Kota Bekasi, Jawa Barat"""
"261,Lembaga Pemberdayaan Masyarakat (LPM) Mutiara Samawa,Pengembangan Masyarakat,Lingkungan,""Kabupaten Sumbawa, Nusa Tenggara Barat"""
"262,tumbue.ai,Pengembangan Masyarakat,Kepemimpinan & Organisasi,""Kota Surabaya, Jawa Timur"""
"263,We No Waste,Lingkungan,Pendidikan,""Kota Bogor, Jawa Barat"""
"264,Selayar Bebas Samapah Plastik By Sileya Peduli,Kesehatan,Kepemimpinan & Organisasi,""Kabupaten Kepulauan Selayar, Sulawesi Selatan"""
"265,Lembaga Manajemen Infaq,Pengembangan Masyarakat,Penanggulangan Bencana,""Kota Surabaya, Jawa Timur"""
"266,Inspire Dedication Education for All,Pendidikan,Pengembangan Masyarakat,""Kabupaten Sleman, Yogyakarta"""
"267,Project With Us,Pengembangan Anak Muda,Pendidikan,""Kabupaten Sleman, Yogyakarta"""
"268,Young Southeast Asia (YoungSEA),Lingkungan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"269,Cakrawala Wasistha Madani,Kesetaraan Gender,Hak Asasi Manusia,""Kabupaten Pati, Jawa Tengah"""
"270,Peace Warrior,Perdamaian dan Toleransi,Pendidikan,""Kota Yogyakarta, Yogyakarta"""
"271,Relawan Desa Wisata.org,Olahraga,Seni dan Budaya,""Kabupaten Kulon Progo, Yogyakarta"""
"272,Pusat Layanan Psikologi UKRIDA,Kesehatan,Pendidikan,""Kota Administrasi Jakarta Barat, DKI Jakarta"""
"273,PT Stress Management Indonesia,Kesehatan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"274,Ruang Belajar Bersama,Pendidikan,Seni dan Budaya,""Kota Bekasi, Jawa Barat"""
"275,RAP,Kesejahteraan Hewan,Bantuan Hukum,""Kabupaten Banyumas, Jawa Tengah"""
"276,YouthGrowIndonesia,Kesejahteraan Hewan,Hak Asasi Manusia,""Kabupaten Pasaman Barat, Sumatera Barat"""
"277,Taman Baca Pobar,Hak Asasi Manusia,Difabilitas/Disabilitas,""Kabupaten Halmahera Selatan, Maluku Utara"""
"278,PG2SU,Ketenagakerjaan,Kepemimpinan & Organisasi,""Kota Medan, Sumatera Utara"""
"279,Call To Action Indonesia,Pengembangan Masyarakat,Penanggulangan Bencana,""Kota Bandung, Jawa Barat"""
"280,Wederok English Club,Pendidikan,Pendidikan,""Kabupaten Belu, Nusa Tenggara Timur"""
"281,Marine Guard Foundation,Kesejahteraan Hewan,Lingkungan,""Kota Denpasar, Bali"""
"282,MILOO PROJECT,Sains dan Teknologi,Pengembangan Anak Muda,""Kota Administrasi Jakarta Pusat, DKI Jakarta"""
"283,Boosternesia,Pendidikan,Pendidikan,""Kabupaten Kolaka, Sulawesi Tenggara"""
"284,Jaramba,Sains dan Teknologi,Pusat Informasi dan Kajian,""Kota Bandung, Jawa Barat"""
"285,Anak Bangsa Mengabdi,Kepemimpinan & Organisasi,Hak Asasi Manusia,""Kota Yogyakarta, Yogyakarta"""
"286,Garasidjoeang,Kepemimpinan & Organisasi,Lingkungan,""Kabupaten Sukoharjo, Jawa Tengah"""
"287,Panitia Pembangunan Kapela Santa Klara Niodede,Kepemimpinan & Organisasi,Kepemimpinan & Organisasi,""Nagekeo, Nusa Tenggara Timur"""
"288,""Kelompok Usaha Penangkaran Anggrek Spesies (KUPAS)-Kaltim """"Zwageri Orchid Garden"""""",Lingkungan,Pengembangan Masyarakat,""Kabupaten Kutai Kartanegara, Kalimantan Timur"""
"289,Pahlawan Darah Makassar,Kesehatan,Penanggulangan Bencana,""Kota Makassar, Sulawesi Selatan"""
"290,Annika Linden Centre,Difabilitas/Disabilitas,Kepemimpinan & Organisasi,""Kota Denpasar, Bali"""
"291,albana foundataion,Pengembangan Masyarakat,Pengembangan Masyarakat,""Kabupaten Sleman, Yogyakarta"""
"292,Aliansi palu bersih,Lingkungan,Lingkungan,""Kota Palu, Sulawesi Tengah"""
"293,World Voice International Indonesia,Hak Asasi Manusia,Pengembangan Anak Muda,""Kota Administrasi Jakarta Utara, DKI Jakarta"""
"294,Kicks for Kids Community,Bantuan Hukum,Difabilitas/Disabilitas,""Kota Depok, Jawa Barat"""
"295,BANTU PENDIDIKAN KITA,Pendidikan,Hak Asasi Manusia,""Kabupaten Pontianak, Kalimantan Barat"""
"296,GIAT Project,Kesehatan,Pendidikan,""Kabupaten Tangerang, Banten"""
"297,Lombok independent disabilitas indonesia ( LIDI Foundation ),Difabilitas/Disabilitas,Kesehatan,""Kabupaten Lombok Tengah, Nusa Tenggara Barat"""
"298,Naringgul Sunda Comunity,Pengembangan Anak Muda,Perdamaian dan Toleransi,""Kabupaten Garut, Jawa Barat"""
"299,Dinas Lingkungan Hidup,Kepemimpinan & Organisasi,Kepemimpinan & Organisasi,""Kabupaten Kotabaru, Kalimantan Selatan"""
"300,KantinSekolah.Com,Pendidikan,Pengembangan Masyarakat,""Kabupaten Jember, Jawa Timur"""
"301,Generasi Masjid Indonesia,Pengembangan Anak Muda,Pengembangan Masyarakat,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"302,Gelisah (gerakan peduli sampah),Lingkungan,Pengembangan Masyarakat,""Kabupaten Boyolali, Jawa Tengah"""
"303,BPJS Kesehatan KC Singkawang,Kesehatan,Kesejahteraan Hewan,""Kota Singkawang, Kalimantan Barat"""
"304,Level Up Community,Pengembangan Anak Muda,Pendidikan,""Kota Surabaya, Jawa Timur"""
"305,Gerakan Pemuda Peduli Masyarakat (GPPM),Lingkungan,Pengembangan Masyarakat,""Kabupaten Majalengka, Jawa Barat"""
"306,Forum Taman Bacaan Masyarakat,Pengembangan Masyarakat,Pendidikan,""Kota Bandung, Jawa Barat"""
"307,Generasi Anak Melayu (GERAM) Kepri Bersatu,Kepemimpinan & Organisasi,Kepemimpinan & Organisasi,""Kota Batam, Kepulauan Riau"""
"308,Arumbae,Pendidikan,Pengembangan Anak Muda,""Kabupaten Tangerang, Banten"""
"309,DINAS LINGKUNGAN HIDUP KABUPATEN BANGKA,Kepemimpinan & Organisasi,Kesehatan,""Kabupaten Bangka, Kepulauan Bangka Belitung"""
"310,Religi Kendari,Pengembangan Masyarakat,Lingkungan,""Kota Kendari, Sulawesi Tenggara"""
"311,Komunitas Mahasiswa Terapi,Pendidikan,Pengembangan Anak Muda,""Kota Bandung, Jawa Barat"""
"312,IYOIN LC Malang,Pengembangan Anak Muda,Pendidikan,""Kota Malang, Jawa Timur"""
"313,Puskesmas Taba Lagan,Kesehatan,Lingkungan,""Kabupaten Bengkulu Tengah, Bengkulu"""
"314,Desa Dunguswiru,Kepemimpinan & Organisasi,Kesehatan,""Kabupaten Garut, Jawa Barat"""
"315,Edufriend,Pendidikan,Pendidikan,""Kabupaten Bantul, Yogyakarta"""
"316,SMP NEGERI 4 CIBITUNG,Pendidikan,Pendidikan,""Kabupaten Bekasi, Jawa Barat"""
"317,Exhibitor Barber,Kesehatan,Hak Asasi Manusia,""Kabupaten Bogor, Jawa Barat"""
"318,Si Mago,Pendidikan,Kepemimpinan & Organisasi,""Kota Bekasi, Jawa Barat"""
"319,Pepelingasih Aceh,Lingkungan,Kesehatan,""Kota Banda Aceh, Aceh"""
"320,Bank Sampah Montolutusan,Lingkungan,Pengembangan Anak Muda,""Kabupaten Banggai, Sulawesi Tengah"""
"321,Rumah Qur'an Ash-Shalihin,Pendidikan,Pengembangan Masyarakat,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"322,Confuse Crew Production,Seni dan Budaya,Pendidikan,""Kabupaten Bandung Barat, Jawa Barat"""
"323,Transparency International Indonesia,Pusat Informasi dan Kajian,Pusat Informasi dan Kajian,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"324,Karangtaruna RW 12 Desa Ciherang Kecamatan Pacet,Lingkungan,Pengembangan Anak Muda,""Kabupaten Cianjur, Jawa Barat"""
"325,Patcigua Creative Community,Kesejahteraan Hewan,Lingkungan,""Kabupaten Halmahera Timur, Maluku Utara"""
"326,HIMPAUDI KABUPATEN BINTAN,Kepemimpinan & Organisasi,Ketenagakerjaan,""Kabupaten Bintan, Kepulauan Riau"""
"327,Sahabat Nusantara,Pendidikan,Lingkungan,""Kota Medan, Sumatera Utara"""
"328,Komunitas EwasteRJ,Lingkungan,Pengembangan Masyarakat,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"329,PRABU PEDULI LINGKUNGAN,Hak Asasi Manusia,Lingkungan,""Kota Bekasi, Jawa Barat"""
"330,WORLD CLEAN UP DAY KOTA LANGSA,Lingkungan,Lingkungan,""Kota Langsa, Aceh"""
"331,Sustain the Nation,Pengembangan Masyarakat,Pengembangan Anak Muda,""Kota Administrasi Jakarta Barat, DKI Jakarta"""
"332,LPM Sumur Pecung,Lingkungan,Pertanian,""Kota Serang, Banten"""
"333,Komunitas Sobat Literasi Jalanan,Pendidikan,Pengembangan Anak Muda,""Kota Palembang, Sumatera Selatan"""
"334,Young Interfaith Peacemaker Community Indonesia (YIPC ID),Perdamaian dan Toleransi,Pengembangan Anak Muda,""Kabupaten Sleman, Yogyakarta"""
"335,LD FORCE,Kesejahteraan Hewan,Lingkungan,""Kota Bengkulu, Bengkulu"""
"336,Soedjiwa Institut,Difabilitas/Disabilitas,Seni dan Budaya,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"337,Dinas Lingkungan Hidup Batam,Kepemimpinan & Organisasi,Kepemimpinan & Organisasi,""Kota Batam, Kepulauan Riau"""
"338,Brotherhood For Nature (BFN) Indonesia,Lingkungan,Pengembangan Masyarakat,""Kota Bandung, Jawa Barat"""
"339,Yayasan Bina Suluk Rahayu,Kesehatan,Pengembangan Masyarakat,""Kabupaten Indramayu, Jawa Barat"""
"340,Giat Baca,Pengembangan Anak Muda,Kepemimpinan & Organisasi,""Kota Palembang, Sumatera Selatan"""
"341,Fridays For Future Indonesia,Lingkungan,Pengembangan Anak Muda,""Kabupaten Bekasi, Jawa Barat"""
"342,Yayasan Merajut Hati,Kesehatan,Difabilitas/Disabilitas,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"343,Ganesa Peduli,Pengembangan Anak Muda,Lingkungan,""Kabupaten Lombok Timur, Nusa Tenggara Barat"""
"344,Youth Gakaxy,Pengembangan Anak Muda,Pendidikan,""Kota Tangerang Selatan, Banten"""
"345,Covid Buddy 2021,Kesehatan,Ketenagakerjaan,""Kota Surabaya, Jawa Timur"""
"346,HMKY SE INDONESIA,Kepemimpinan & Organisasi,Kepemimpinan & Organisasi,""Kabupaten Jayapura, Papua"""
"347,NAHAWAND ALMAJID BOGOR,Pendidikan,Pengembangan Anak Muda,""Kabupaten Bogor, Jawa Barat"""
"348,CV. Sembilan Delapan Consulindo,Lingkungan,Pusat Informasi dan Kajian,""Kabupaten Pinrang, Sulawesi Selatan"""
"349,PEMDAS.ID,Bantuan Hukum,Lingkungan,""Kabupaten Sukabumi, Jawa Barat"""
"350,Yayasan Cakrawala Wasistha Madani,Hak Asasi Manusia,Kesehatan,""Kabupaten Pati, Jawa Tengah"""
"351,Yayasan Harapan Nusantara Doutou Papua,Difabilitas/Disabilitas,Difabilitas/Disabilitas,""Kabupaten Nabire, Papua"""
"352,Remaja Peduli Lingkungan (RPL),Pengembangan Anak Muda,Pengembangan Masyarakat,""Kabupaten Bandung Barat, Jawa Barat"""
"353,EduProject Indonesia,Pendidikan,Pengembangan Masyarakat,""Kota Makassar, Sulawesi Selatan"""
"354,WCD KBB,Lingkungan,Pengembangan Masyarakat,""Kabupaten Bandung Barat, Jawa Barat"""
"355,World Cleanup Day Kota Bontang,Lingkungan,Pengembangan Masyarakat,""Kota Bontang, Kalimantan Timur"""
"356,DAPALA,Lingkungan,Pengembangan Anak Muda,""Kabupaten Indramayu, Jawa Barat"""
"357,WCD TOMOHON,Lingkungan,Kesehatan,""Kota Tomohon, Sulawesi Utara"""
"358,Forum Barisan Cinta Lingkungan,Lingkungan,Pengembangan Masyarakat,""Kabupaten Bekasi, Jawa Barat"""
"359,Relawan Eco Enzyme Indonesia,Lingkungan,Kesehatan,""Kota Medan, Sumatera Utara"""
"360,Komunitas Rehabilitasi Kota Serang,Lingkungan,Pengembangan Masyarakat,""Kota Serang, Banten"""
"361,Campusindo,Pendidikan,Pusat Informasi dan Kajian,""Kabupaten Magelang, Jawa Tengah"""
"362,Taman Baca Rumah Ilmu,Pengembangan Masyarakat,Lingkungan,""Kabupaten Subang, Jawa Barat"""
"363,wcdid kabupaten semarang,Lingkungan,Kepemimpinan & Organisasi,""Kabupaten Semarang, Jawa Tengah"""
"364,Dewo,Lingkungan,Pengembangan Masyarakat,""Kabupaten Bogor, Jawa Barat"""
"365,Education Religion Bee Entertainment (ERBE),Pengembangan Masyarakat,Difabilitas/Disabilitas,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"366,PELELATU COMMUNITY,Lingkungan,Pengembangan Anak Muda,""Kabupaten Seram Bagian Barat, Maluku"""
"367,Yayasan Karunia Insan Cendekia,Lingkungan,Pengembangan Masyarakat,""Kabupaten Sukabumi, Jawa Barat"""
"368,Komunitas AMBI ( Asosiasi Mahasiswa Belajar Indonesia,Pendidikan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"369,TORAJAMELO,Pengembangan Masyarakat,Kesetaraan Gender,""Kota Administrasi Jakarta Pusat, DKI Jakarta"""
"370,Kejar Paket Pintar,Seni dan Budaya,Pendidikan,""Kota Administrasi Jakarta Pusat, DKI Jakarta"""
"371,Askara nusantara,Perdamaian dan Toleransi,Seni dan Budaya,""Kota Depok, Jawa Barat"""
