nomor,nama,keahlian 1,keahlian 2,lokasi
"52,Bakrie Center Foundation,Pendidikan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"53,THE NUSANTARA MEMBANGUN (THE NUN),Pendidikan,Lingkungan,""Kabupaten Lombok Tengah, Nusa Tenggara Barat"""
"54,Zipmex Troops,Pendidikan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"55,Mantra,Lingkungan,Kesehatan,""Kota Tomohon, Sulawesi Utara"""
"56,Belajar Seutuhnya,Pendidikan,Pengembangan Masyarakat,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"57,Wise Steps Foundation,Pengembangan Anak Muda,Pendidikan,""Kota Administrasi Jakarta Pusat, DKI Jakarta"""
"58,YOT MAKASSAR,Pengembangan Anak Muda,Kepemimpinan & Organisasi,""Kota Makassar, Sulawesi Selatan"""
"59,Asosiasi Pokdarwis Pandeglang,Pengembangan Masyarakat,Lingkungan,""Kabupaten Pandeglang, Banten"""
"60,Alinasi Batak Nusantara,Kepemimpinan & Organisasi,Kesetaraan Gender,""Kota Medan, Sumatera Utara"""
"61,Relawan TIK Palopo,Sains dan Teknologi,Pendidikan,""Kota Palopo, Sulawesi Selatan"""
"62,Rakit Rasa Indonesia,Pendidikan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"63,SUMECO,Lingkungan,Kesejahteraan Hewan,""Kabupaten Langkat, Sumatera Utara"""
"64,Teman Millenials,Pendidikan,Pengembangan Masyarakat,""Kabupaten Bandung Barat, Jawa Barat"""
"65,Kejar Kebaikan,Pendidikan,Pengembangan Masyarakat,""Kota Bekasi, Jawa Barat"""
"66,Lazuardi Indonesia,Kepemimpinan & Organisasi,Hak Asasi Manusia,""Kabupaten Bekasi, Jawa Barat"""
"67,Duta Baca Kabupaten Indramayu,Pendidikan,Lingkungan,""Kabupaten Indramayu, Jawa Barat"""
"68,Forum Indonesia Muda Tangerang Raya,Kepemimpinan & Organisasi,Pengembangan Anak Muda,""Kota Tangerang Selatan, Banten"""
"69,Yayasan Assofa Pusat Pendidikan,Pendidikan,Olahraga,""Kabupaten Bogor, Jawa Barat"""
"70,Lingkar Muda,Pendidikan,Pengembangan Anak Muda,""Kabupaten Gresik, Jawa Timur"""
"71,Puan Bisa,Kesetaraan Gender,Pengembangan Anak Muda,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"72,Persatuan Pemuda Alila,Hak Asasi Manusia,Kepemimpinan & Organisasi,""Kota Batam, Kepulauan Riau"""
"73,kluarga.id,Kesetaraan Gender,Pengembangan Anak Muda,""Kota Administrasi Jakarta Barat, DKI Jakarta"""
"74,relawan creativ,Penanggulangan Bencana,Seni dan Budaya,""Kota Malang, Jawa Timur"""
"75,Manupsia,Pengembangan Masyarakat,Pengembangan Anak Muda,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"76,Senyum Anak Nusantara Chapter Surabaya,Pengembangan Anak Muda,Pendidikan,""Kota Surabaya, Jawa Timur"""
"77,World Inspiration Indonesia,Pendidikan,Pengembangan Anak Muda,""Kota Bekasi, Jawa Barat"""
"78,Setudio,Sains dan Teknologi,Pendidikan,""Kota Tangerang Selatan, Banten"""
"79,Artiseni,Seni dan Budaya,Pendidikan,""Kota Yogyakarta, Yogyakarta"""
"80,Masyarakat Relawan Indonesia Kota Kendari,Penanggulangan Bencana,Pengembangan Masyarakat,""Kota Kendari, Sulawesi Tenggara"""
"81,Teras Pemimpin,Kepemimpinan & Organisasi,Pengembangan Masyarakat,""Kota Yogyakarta, Yogyakarta"""
"82,Yayasan Sangga Domas Garut,Seni dan Budaya,Penanggulangan Bencana,""Kabupaten Garut, Jawa Barat"""
"83,Gerakan Pemuda Peduli,Lingkungan,Pendidikan,""Kabupaten Polewali Mandar, Sulawesi Barat"""
"84,Artha Kalaena,Kesehatan,Kepemimpinan & Organisasi,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"85,Panjang Umur Hal Baik Indonesia,Pengembangan Anak Muda,Pendidikan,""Kota Medan, Sumatera Utara"""
"86,Turun Tangan Surabaya,Pendidikan,Pengembangan Masyarakat,""Kota Surabaya, Jawa Timur"""
"87,Penjaga Laut,Lingkungan,Pengembangan Anak Muda,""Kota Administrasi Jakarta Pusat, DKI Jakarta"""
"88,Indonesia Youth Sociopreneur by Mataharikecil Indonesia,Pengembangan Masyarakat,Pendidikan,""Kota Bandung, Jawa Barat"""
"89,PT. Sapa Pelosok Inspirasi Indonesia (SPI),Pendidikan,Kesehatan,""Kabupaten Labuhanbatu Selatan, Sumatera Utara"""
"90,GO-FOREST JATIM,Lingkungan,Pengembangan Anak Muda,""Kota Surabaya, Jawa Timur"""
"91,Rumah Millennials Regional Network Banjarmasin,Pengembangan Anak Muda,Kepemimpinan & Organisasi,""Kota Banjarmasin, Kalimantan Selatan"""
"92,Yayasan indonesia hijau,Pendidikan,Difabilitas/Disabilitas,""Kota Depok, Jawa Barat"""
"93,Yayasan EcoNusa,Lingkungan,Hak Asasi Manusia,""Kota Administrasi Jakarta Pusat, DKI Jakarta"""
"94,TARUNA JAYA,Pengembangan Anak Muda,Olahraga,""Kabupaten Cianjur, Jawa Barat"""
"95,Taman Belajar Nusantara,Pendidikan,Kesehatan,""Kabupaten Tambrauw, Papua Barat"""
"96,Sukarelawan HII Regional Sumatra,Lingkungan,Pengembangan Masyarakat,""Kota Medan, Sumatera Utara"""
"97,GO FOREST JATIM,Lingkungan,Pengembangan Anak Muda,""Kota Surabaya, Jawa Timur"""
"98,Funhutan Indonesia,Lingkungan,Kepemimpinan & Organisasi,""Kota Administrasi Jakarta Timur, DKI Jakarta"""
"99,Lintas Ambulance Indonesia Korwil Bali,Kesehatan,Penanggulangan Bencana,""Kota Denpasar, Bali"""
"100,Ruang Air,Lingkungan,Sains dan Teknologi,""Kota Administrasi Jakarta Selatan, DKI Jakarta"""
"101,JPKP Jaringan Pendamping Kebijakan Pembangunan,Kesehatan,Difabilitas/Disabilitas,""Kota Bekasi, Jawa Barat"""
"102,KURSUSMART,Pendidikan,Pendidikan,""Kota Depok, Jawa Barat"""
"103,Uma ternak,Pertanian,Pengembangan Anak Muda,""Kabupaten Bima, Nusa Tenggara Barat"""
"104,Young Talk Indonesia,Pengembangan Anak Muda,Kepemimpinan & Organisasi,""Kabupaten Lumajang, Jawa Timur"""
"105,Jabar Bergerak Zillenial Kota Depok,Pengembangan Masyarakat,Pendidikan,""Kota Depok, Jawa Barat"""
"106,Komunitas Generasi Cendekia Sumatera Selatan,Pendidikan,Pengembangan Anak Muda,""Kota Palembang, Sumatera Selatan"""
"107,Foodiewellity.,Kesehatan,Pengembangan Masyarakat,""Kabupaten Bekasi, Jawa Barat"""
"108,Student Scholarship Community,Pendidikan,Pengembangan Anak Muda,""Kota Palembang, Sumatera Selatan"""
"109,Wana Asmara DI Yogyakarta,Lingkungan,Pengembangan Anak Muda,""Kabupaten Sleman, Yogyakarta"""
"110,Wana Asmara Yogyakarta,Lingkungan,Pengembangan Anak Muda,""Kabupaten Sleman, Yogyakarta"""
"111,RedB,Penanggulangan Bencana,Penanggulangan Bencana,""Kabupaten Bekasi, Jawa Barat"""
"112,Generasi Harapan,Pendidikan,Pengembangan Anak Muda,""Kabupaten Lombok Utara, Nusa Tenggara Barat"""
